Group1,Group2,Lower_Limit,mean,UpperLimit,P_value
1,2,-173.935150231758,12.9202275249723,199.775605281702,0.99999999952564
1,3,-581.003157701588,-325.225271583762,-69.4473854659365,0.00192944645178439
1,4,-102.706457120343,15.3760805833272,133.458618286997,0.999999563470047
1,5,-260.775884974315,-4.9979988564894,250.779887261336,1
1,6,-593.577138872011,-353.528301886792,-113.479464901573,9.46804334233109e-05
1,7,-185.83883272859,-74.9261006289307,35.986631470729,0.54393218475359
1,8,-539.97191493764,-353.11653718091,-166.26115942418,2.64379784731261e-07
1,9,-254.169824368254,1.60806174957122,257.385947867397,1
1,10,-66.2263774390679,51.8561602646021,169.938697968272,0.956733844557192
1,11,-563.73043042886,-307.952544311035,-52.1746581932092,0.00475387612028955
1,12,-181.116612556222,58.9322244289971,298.981061414216,0.999711525224197
2,3,-634.853478579632,-338.145499108734,-41.4375196378366,0.0106234784257925
2,4,-188.742430839117,2.45585305835482,193.654136955826,1
2,5,-314.62620585236,-17.9182263814617,278.789753089436,0.999999999891624
2,6,-649.709437750271,-366.448529411765,-83.1876210732584,0.00141741646168192
2,7,-274.701705910633,-87.8463281539031,99.0090496028271,0.930638598913277
2,8,-605.887197791607,-366.036764705882,-126.186331620158,3.9408782304573e-05
2,9,-308.020145246299,-11.3121657754011,285.395813695497,0.999999999999294
2,10,-152.262351157842,38.9359327396297,230.134216637101,0.999954595189398
2,11,-617.580751306905,-320.872771836007,-24.1647923651092,0.0209585396446385
2,12,-237.248911434482,46.0119969040247,329.272905242531,0.999995531131263
3,4,81.633827956753,340.601352167089,599.568876377426,0.00104416451618583
3,5,-24.0734968216724,320.227272727273,664.528042276218,0.0973486673581874
3,6,-361.085447240958,-28.3030303030303,304.479386634897,0.999999995502393
3,7,-5.47871516299418,250.299170954831,506.077057072657,0.0618213669551347
3,8,-324.599245068046,-27.8912655971478,268.81671387375,0.999999986719807
3,9,-17.4674362156118,326.833333333333,671.134102882279,0.0817067153662377
3,10,118.113907638028,377.081431848364,636.0489560587,0.000123658870686771
3,11,-327.028042276218,17.2727272727274,361.573496821673,0.999999999985726
3,12,51.3750790748315,384.157496012759,716.939912950687,0.00888064733315019
4,5,-279.341603650153,-20.3740794398166,238.59344477052,0.999999998068491
4,6,-612.349028553544,-368.90438247012,-125.459736386695,4.71323556994196e-05
4,7,-208.384718915928,-90.3021812122579,27.7803564914121,0.340212280790887
4,8,-559.690901661708,-368.492617764237,-177.294333866766,2.42302614750223e-07
4,9,-272.735543044092,-13.7680188337559,245.19950537658,0.999999999973069
4,10,-88.3611686273926,36.4800796812749,161.321327989942,0.998508141250251
4,11,-582.296149104698,-323.328624894362,-64.3611006840256,0.00263956469515969
4,12,-199.888502237755,43.5561438456699,287.000789929095,0.999987853238833
5,6,-681.312719968231,-348.530303030303,-15.7478860923753,0.0305276732490682
5,7,-325.705987890267,-69.9281017724413,185.849784345384,0.999195220127254
5,8,-644.826517795319,-348.118538324421,-51.4105588535227,0.00702674601223319
5,9,-337.694708942885,6.60606060606062,350.906830155006,1
5,10,-202.113365089245,56.8541591210915,315.821683331428,0.999903640739936
5,11,-647.255315003491,-302.954545454545,41.3462240943998,0.149581866070904
5,12,-268.852193652441,63.9302232854865,396.712640223414,0.999974845674539
6,7,38.5533642726426,278.602201257862,518.651038243081,0.00822537030885173
6,8,-282.849143632624,0.411764705882433,283.672673044389,1
6,9,22.3539466984359,355.136363636364,687.918780574291,0.0245783689927478
6,10,161.93981606797,405.384462151394,648.829108234819,3.61202990106779e-06
6,11,-287.20665936217,45.5757575757576,378.358174513685,0.99999925485464
6,12,91.609697839219,412.460526315789,733.31135479236,0.00158890122053867
7,8,-465.045814308709,-278.190436551979,-91.3350587952491,7.29530930801969e-05
7,9,-179.243723739324,76.5341623785019,332.312048496328,0.998148108507617
7,10,8.69972318986284,126.782260893533,244.864798597203,0.0228655991106524
7,11,-488.80432979993,-233.026443682104,22.7514424357215,0.115138986947463
7,12,-106.190511927291,133.858325057928,373.907162043147,0.806015117066203
8,9,58.0166194595833,354.724598930481,651.432578401379,0.00529991422802223
8,10,213.774413548041,404.972697445512,596.170981342983,2.24610987475948e-07
8,11,-251.543986601023,45.1639928698752,341.871972340773,0.999997733033212
8,12,128.787853271401,412.048761609907,695.309669948413,0.000126519036048989
9,10,-208.719425695305,50.2480985150308,309.215622725367,0.999972162293265
9,11,-653.861375609551,-309.560606060606,34.7401634883391,0.12754855452666
9,12,-275.458254258502,57.3241626794259,390.106579617354,0.999991784643414
10,11,-618.776228785973,-359.808704575637,-100.841180365301,0.000349503114430716
10,12,-236.36858191903,7.07606416439501,250.52071024782,0.999999999999964
11,12,34.1023518021042,366.884768740032,699.66718567796,0.0164852719648371
